ZAVMATNAZ,ZAVNAZ,REGIJA,OBCINA,DAT_OD,DAT_DO,VNOS,OBDOBJE,VZROK,TRAJANJE,LETO_TEDEN_VNOSA
Osnovna šola Franceta Bevka,Osnovna šola Franceta Bevka,Osrednjeslovenska,Ljubljana,2020-10-03,2020-10-13,2020-10-03,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_40
Osnovna šola Martina Konšaka Maribor,Osnovna šola Martina Konšaka Maribor,Podravska,Maribor,2020-10-02,2020-10-12,2020-10-03,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Črna na Koroškem,Osnovna šola Črna na Koroškem,Koroška,Črna na Koroškem,2020-09-22,2020-10-04,2020-10-04,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Osnovna šola Črna na Koroškem,Osnovna šola Črna na Koroškem,Koroška,Črna na Koroškem,2020-09-28,2020-09-30,2020-10-04,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_40
Osnovna šola Črna na Koroškem,Osnovna šola Črna na Koroškem,Koroška,Črna na Koroškem,2020-10-02,2020-10-13,2020-10-04,OSNOVNA ŠOLA,Sum na okužbo,srednje,2020_40
Srednja šola tehniških strok Šiška,Srednja šola tehniških strok Šiška,Osrednjeslovenska,Ljubljana,2020-10-01,2020-10-09,2020-10-04,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2020_40
Osnovna šola Otočec,Osnovna šola Otočec,Jugovzhodna Slovenija,Novo mesto,2020-09-24,2020-09-26,2020-10-04,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_40
Osnovna šola Otočec,Osnovna šola Otočec,Jugovzhodna Slovenija,Novo mesto,2020-10-01,2020-10-04,2020-10-04,OSNOVNA ŠOLA,Sum na okužbo,kratko,2020_40
Vrtec Čebelica Šentjernej,Vrtec Čebelica Šentjernej,Jugovzhodna Slovenija,Šentjernej,2020-09-30,2020-10-09,2020-10-04,VRTEC,Sum na okužbo,srednje,2020_40
Vrtec Čebelica Šentjernej,Vrtec Čebelica Šentjernej,Jugovzhodna Slovenija,Šentjernej,2020-10-05,2020-10-15,2020-10-04,VRTEC,Sum na okužbo,srednje,2020_40
Gimnazija Šentvid,Gimnazija Šentvid,Osrednjeslovenska,Ljubljana,2020-10-02,2020-10-09,2020-10-04,SREDNJA ŠOLA,Okužba s Covid-19,srednje,2020_40
Osnovna šola Vodice,Osnovna šola Vodice,Osrednjeslovenska,Vodice,2020-09-25,2020-10-10,2020-10-04,OSNOVNA ŠOLA,Sum na okužbo,dolgo,2020_40
Osnovna šola Šentjernej,Osnovna šola Šentjernej,Jugovzhodna Slovenija,Šentjernej,2020-10-03,2020-10-13,2020-10-04,OSNOVNA ŠOLA,Okužba s Covid-19,srednje,2020_40
Šolski center Slovenske Konjice - Zreče,"Šolski center Slovenske Konjice - Zreče, Gimnazija Slovenske Konjice",Savinjska,Slovenske Konjice,2020-10-04,2020-10-12,2020-10-04,SREDNJA ŠOLA,Sum na okužbo,srednje,2020_40
