Sequence,Support,Relative Frequency
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{srednje}, {9 days}, {srednje}",6,0.5454545454545454
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {9 days, srednje}",6,0.5454545454545454
"{2. star. obd., srednje}, {Okužba s Covid-19 pri učitelju}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka, srednje}, {1. letnik}",6,0.5454545454545454
"{10 days}, {2. star. obd., srednje}",6,0.5454545454545454
"{srednje}, {srednje}, {srednje}",8,0.7272727272727273
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {9 days}",6,0.5454545454545454
"{srednje}, {Okužba s Covid-19 pri učitelju, srednje}",6,0.5454545454545454
"{veliko}, {srednje}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{veliko}, {9 days}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {2. star. obd., srednje}",6,0.5454545454545454
"{10 days, 2. star. obd.}, {srednje}",6,0.5454545454545454
"{veliko}, {srednje}, {9 days}",6,0.5454545454545454
"{srednje}, {Okužba s Covid-19 pri drugem strokovnem delavcu, veliko}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka, srednje}, {zelo malo}",6,0.5454545454545454
"{veliko}, {9 days}, {9 days}",6,0.5454545454545454
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {9 days}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{2. star. obd., srednje}, {5 days}",6,0.5454545454545454
"{srednje}, {veliko}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {10 days}, {10 days}",6,0.5454545454545454
"{malo}, {2. star. obd., srednje}",6,0.5454545454545454
"{srednje}, {srednje}, {1. razred}",6,0.5454545454545454
"{Okužba s Covid-19 pri drugem strokovnem delavcu, veliko}, {9 days}",6,0.5454545454545454
