Sequence,Support,Relative Frequency
"{Sum na okužbo pri otroku / učencu / dijaku}, {VRTEC}, {malo}",3,1.0
"{OSNOVNA ŠOLA}, {kratko}, {srednje}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Okužba pri zaposlenem}, {kratko}",3,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo pri zaposlenem}, {srednje}",3,1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo pri zaposlenem}, {dolgo}",3,1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo pri zaposlenem}, {malo}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri otroku / učencu / dijaku}, {dolgo}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {malo}, {srednje}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {VRTEC}, {kratko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {VRTEC}, {veliko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {malo}, {veliko}",3,1.0
"{SREDNJA ŠOLA}, {malo}, {veliko}",3,1.0
"{Okužba pri zaposlenem}, {SREDNJA ŠOLA}, {dolgo}",3,1.0
"{Okužba pri zaposlenem}, {SREDNJA ŠOLA}, {malo}",3,1.0
"{VRTEC}, {srednje}, {veliko}",3,1.0
"{kratko}, {malo}, {veliko}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}",3,1.0
"{Okužba pri zaposlenem}, {Sum na okužbo pri otroku / učencu / dijaku}, {VRTEC}",3,1.0
"{OSNOVNA ŠOLA}, {VRTEC}, {malo}",3,1.0
"{SREDNJA ŠOLA}, {VRTEC}, {veliko}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri zaposlenem}, {SREDNJA ŠOLA}",3,1.0
"{Okužba pri zaposlenem}, {dolgo}, {srednje}",3,1.0
"{Okužba pri zaposlenem}, {SREDNJA ŠOLA}, {Sum na okužbo pri zaposlenem}",3,1.0
"{Okužba pri zaposlenem}, {Sum na okužbo pri otroku / učencu / dijaku}, {srednje}",3,1.0
"{OSNOVNA ŠOLA}, {VRTEC}, {srednje}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {kratko}, {srednje}",3,1.0
"{Okužba pri zaposlenem}, {SREDNJA ŠOLA}, {kratko}",3,1.0
"{SREDNJA ŠOLA}, {kratko}, {malo}",3,1.0
"{Okužba pri zaposlenem}, {dolgo}, {veliko}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri zaposlenem}, {Sum na okužbo pri otroku / učencu / dijaku}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {dolgo}, {veliko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {dolgo}, {malo}",3,1.0
"{Okužba pri zaposlenem}, {Sum na okužbo pri otroku / učencu / dijaku}, {kratko}",3,1.0
"{SREDNJA ŠOLA}, {dolgo}, {malo}",3,1.0
"{Okužba pri zaposlenem}, {Sum na okužbo pri zaposlenem}, {veliko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}, {dolgo}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}, {malo}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}, {VRTEC}",3,1.0
"{OSNOVNA ŠOLA}, {VRTEC}, {kratko}",3,1.0
"{dolgo}, {kratko}, {srednje}",3,1.0
"{SREDNJA ŠOLA}, {kratko}, {srednje}",3,1.0
"{malo}, {srednje}, {veliko}",3,1.0
